"id","municipality_name","entitled_to_vote","votes_cast","turnout","valid_votes","yes","no","yes_percentage"
75620124616,"Uesslingen-Buch","813","499",61.4,"482","307","175",63.7
75620124621,"Warth-Weiningen","914","552",60.4,"539","340","199",63.1
75620134641,"Altnau","1,367","698",51.1,"688","358","330",52
75620134643,"Bottighofen","1,237","775",62.7,"760","370","390",48.7
75620134646,"Ermatingen","1,857","1,027",55.3,"1,003","512","491",51
75620134651,"Gottlieben","157","107",68.2,"105","46","59",43.8
75620134656,"Güttingen","973","600",61.7,"592","341","251",57.6
75620134666,"Kemmental","1,524","844",55.4,"813","525","288",64.6
75620134671,"Kreuzlingen","8,402","4,559",54.3,"4,443","2,184","2,259",49.2
75620134681,"Langrickenbach","828","488",58.9,"473","308","165",65.1
75620134683,"Lengwil","912","507",55.6,"494","304","190",61.5
75620134691,"Münsterlingen","1,598","874",54.7,"866","450","416",52
75620134696,"Tägerwilen","2,248","1,185",52.7,"1,120","575","545",51.3
75620134701,"Wäldi","687","391",56.9,"388","274","114",70.6
75620154711,"Affeltrangen","1,614","940",58.2,"922","654","268",70.9
75620144716,"Bettwiesen","708","373",52.7,"367","249","118",67.8
75620144721,"Bichelsee-Balterswil","1,926","1,059",55,"1,027","632","395",61.5
75620144723,"Braunau","501","289",57.7,"283","172","111",60.8
75620144724,"Eschlikon","2,956","1,650",55.8,"1,632","943","689",57.8
75620144726,"Fischingen","1,873","1,058",56.5,"1,041","688","353",66.1
75620144741,"Lommis","805","483",60,"463","308","155",66.5
75620144746,"Münchwilen (TG)","3,167","1,579",49.9,"1,525","913","612",59.9
75620144751,"Rickenbach (TG)","1,563","765",48.9,"750","449","301",59.9
75620154756,"Schönholzerswilen","575","312",54.3,"311","199","112",64
75620144761,"Sirnach","4,643","2,432",52.4,"2,369","1,455","914",61.4
75620144776,"Tobel-Tägerschen","984","546",55.5,"523","374","149",71.5
75620144781,"Wängi","2,988","1,653",55.3,"1,592","1,008","584",63.3
75620144786,"Wilen (TG)","1,529","834",54.5,"824","438","386",53.2
75620154791,"Wuppenau","791","442",55.9,"438","287","151",65.5
75620124801,"Berlingen","570","365",64,"352","172","180",48.9
75620124806,"Eschenz","1,158","633",54.7,"628","389","239",61.9
75620124811,"Herdern","713","450",63.1,"436","251","185",57.6
75620124816,"Homburg","1,089","617",56.7,"610","426","184",69.8
75620124821,"Hüttwilen","1,129","706",62.5,"688","339","349",49.3
75620124826,"Mammern","364","220",60.4,"214","120","94",56.1
75620124831,"Müllheim","1,887","883",46.8,"849","535","314",63
75620124841,"Pfyn","1,337","742",55.5,"734","516","218",70.3
75620134846,"Raperswilen","289","195",67.5,"194","160","34",82.5
