"id","district_number","district_name","canton_code","gdebznr","gdebzna","gdekt"
"7561104","1104","Bezirk Dorneck","SO",1104,"Bezirk Dorneck","SO"
"7561105","1105","Bezirk Gösgen","SO",1105,"Bezirk Gösgen","SO"
"7561106","1106","Bezirk Wasseramt","SO",1106,"Bezirk Wasseramt","SO"
"7561107","1107","Bezirk Lebern","SO",1107,"Bezirk Lebern","SO"
"7561108","1108","Bezirk Olten","SO",1108,"Bezirk Olten","SO"
"7561109","1109","Bezirk Solothurn","SO",1109,"Bezirk Solothurn","SO"
"7561110","1110","Bezirk Thierstein","SO",1110,"Bezirk Thierstein","SO"
"7561200","1200","Kanton Basel-Stadt","BS",1200,"Kanton Basel-Stadt","BS"
"7561301","1301","Bezirk Arlesheim","BL",1301,"Bezirk Arlesheim","BL"
"7561302","1302","Bezirk Laufen","BL",1302,"Bezirk Laufen","BL"
"7561303","1303","Bezirk Liestal","BL",1303,"Bezirk Liestal","BL"
"7561304","1304","Bezirk Sissach","BL",1304,"Bezirk Sissach","BL"
"7561305","1305","Bezirk Waldenburg","BL",1305,"Bezirk Waldenburg","BL"
"7561401","1401","Bezirk Oberklettgau","SH",1401,"Bezirk Oberklettgau","SH"
"7561402","1402","Bezirk Reiat","SH",1402,"Bezirk Reiat","SH"
"7561403","1403","Bezirk Schaffhausen","SH",1403,"Bezirk Schaffhausen","SH"
"7561404","1404","Bezirk Schleitheim","SH",1404,"Bezirk Schleitheim","SH"
"7561405","1405","Bezirk Stein","SH",1405,"Bezirk Stein","SH"
"7561406","1406","Bezirk Unterklettgau","SH",1406,"Bezirk Unterklettgau","SH"
"7561501","1501","Bezirk Hinterland","AR",1501,"Bezirk Hinterland","AR"
"7561502","1502","Bezirk Mittelland","AR",1502,"Bezirk Mittelland","AR"
"7561503","1503","Bezirk Vorderland","AR",1503,"Bezirk Vorderland","AR"
"7561600","1600","Kanton Appenzell Innerrhoden","AI",1600,"Kanton Appenzell Innerrhoden","AI"
"7561721","1721","Wahlkreis St. Gallen","SG",1721,"Wahlkreis St. Gallen","SG"
"7561722","1722","Wahlkreis Rorschach","SG",1722,"Wahlkreis Rorschach","SG"
"7561723","1723","Wahlkreis Rheintal","SG",1723,"Wahlkreis Rheintal","SG"
"7561724","1724","Wahlkreis Werdenberg","SG",1724,"Wahlkreis Werdenberg","SG"
"7561725","1725","Wahlkreis Sarganserland","SG",1725,"Wahlkreis Sarganserland","SG"
"7561726","1726","Wahlkreis See-Gaster","SG",1726,"Wahlkreis See-Gaster","SG"
"7561727","1727","Wahlkreis Toggenburg","SG",1727,"Wahlkreis Toggenburg","SG"
"7561728","1728","Wahlkreis Wil","SG",1728,"Wahlkreis Wil","SG"
"7561821","1821","Bezirk Albula","GR",1821,"Bezirk Albula","GR"
"7561822","1822","Distretto di Bernina","GR",1822,"Distretto di Bernina","GR"
"7561823","1823","Bezirk Hinterrhein","GR",1823,"Bezirk Hinterrhein","GR"
"7561824","1824","Bezirk Imboden","GR",1824,"Bezirk Imboden","GR"
"7561825","1825","Bezirk Inn","GR",1825,"Bezirk Inn","GR"
"7561826","1826","Bezirk Landquart","GR",1826,"Bezirk Landquart","GR"
"7561827","1827","Bezirk Maloja / Distretto di Maloggia","GR",1827,"Bezirk Maloja / Distretto di Maloggia","GR"
"7561828","1828","Distretto di Moesa","GR",1828,"Distretto di Moesa","GR"
"7561829","1829","Bezirk Plessur","GR",1829,"Bezirk Plessur","GR"
"7561830","1830","Bezirk Prättigau-Davos","GR",1830,"Bezirk Prättigau-Davos","GR"
"7561831","1831","Bezirk Surselva","GR",1831,"Bezirk Surselva","GR"
"7561901","1901","Bezirk Aarau","AG",1901,"Bezirk Aarau","AG"
"7561902","1902","Bezirk Baden","AG",1902,"Bezirk Baden","AG"
"7561903","1903","Bezirk Bremgarten","AG",1903,"Bezirk Bremgarten","AG"
"7561904","1904","Bezirk Brugg","AG",1904,"Bezirk Brugg","AG"
"7561905","1905","Bezirk Kulm","AG",1905,"Bezirk Kulm","AG"
"7561906","1906","Bezirk Laufenburg","AG",1906,"Bezirk Laufenburg","AG"
