"id","municipality_name_fr","code_ins"
"056F72040","Meeuwen-Gruitrode","72040"
"056F72025","Neerpelt","72025"
"056F72029","Overpelt","72029"
"056F72030","Peer","72030"
"056F12002","Berlaar","12002"
"056F12005","Bonheiden","12005"
"056F12007","Bornem","12007"
"056F12009","Duffel","12009"
"056F12014","Heist-op-den-Berg","12014"
"056F12021","Lierre","12021"
"056F12025","Malines","12025"
"056F12026","Nijlen","12026"
"056F12029","Putte","12029"
"056F12030","Puurs","12030"
"056F12034","Sint-Amands","12034"
"056F12035","Sint-Katelijne-Waver","12035"
"056F12040","Willebroek","12040"
"056W83012","Durbuy","83012"
"056W83013","Erezée","83013"
"056W83028","Hotton","83028"
"056W83031","La Roche-en-Ardenne","83031"
"056W83055","Manhay","83055"
"056W83034","Marche-en-Famenne","83034"
"056W83040","Nassogne","83040"
"056W83044","Rendeux","83044"
"056W83049","Tenneville","83049"
"056W53014","Boussu","53014"
"056W53082","Colfontaine","53082"
"056W53020","Dour","53020"
"056W53028","Frameries","53028"
"056W53039","Hensies","53039"
"056W53083","Honnelles","53083"
"056W53044","Jurbise","53044"
"056W53046","Lens","53046"
"056W53053","Mons","53053"
"056W53065","Quaregnon","53065"
"056W53084","Quévy","53084"
"056W53068","Quiévrain","53068"
"056W53070","Saint-Ghislain","53070"
"056W54010","Comines-Warneton","54010"
"056W54007","Mouscron","54007"
"056W92003","Andenne","92003"
"056W92006","Assesse","92006"
"056W92035","Eghezée","92035"
"056W92138","Fernelmont","92138"
"056W92045","Floreffe","92045"
"056W92048","Fosses-la-Ville","92048"
"056W92142","Gembloux","92142"
"056W92054","Gesves","92054"
"056W92140","Jemeppe-sur-Sambre","92140"
"056W92141","La Bruyère","92141"
"056W92087","Mettet","92087"
"056W92094","Namur","92094"
"056W92097","Ohey","92097"
"056W92101","Profondeville","92101"
"056W92137","Sambreville","92137"
"056W92114","Sombreffe","92114"
"056W84009","Bertrix","84009"
"056W84010","Bouillon","84010"
"056W84016","Daverdisse","84016"
"056W84029","Herbeumont","84029"
"056W84033","Léglise","84033"
"056W84035","Libin","84035"
"056W84077","Libramont-Chevigny","84077"
"056W84043","Neufchâteau","84043"
"056W84050","Paliseul","84050"
"056W84059","Saint-Hubert","84059"
"056W84068","Tellin","84068"
"056W84075","Wellin","84075"
"056W25005","Beauvechain","25005"
"056W25014","Braine-l'Alleud","25014"
"056W25015","Braine-le-Château","25015"
"056W25117","Chastre","25117"
"056W25018","Chaumont-Gistoux","25018"
"056W25023","Court-Saint-Etienne","25023"
"056W25031","Genappe","25031"
"056W25037","Grez-Doiceau","25037"
"056W25118","Hélécine","25118"
"056W25043","Incourt","25043"
"056W25044","Ittre","25044"
"056W25048","Jodoigne","25048"
"056W25050","La Hulpe","25050"
"056W25119","Lasne","25119"
"056W25068","Mont-Saint-Guibert","25068"
"056W25072","Nivelles","25072"
"056W25120","Orp-Jauche","25120"
"056W25121","Ottignies-Louvain-la-Neuve","25121"
"056W25084","Perwez","25084"
"056W25122","Ramillies","25122"
"056W25123","Rebecq","25123"
"056W25091","Rixensart","25091"
"056W25105","Tubize","25105"
"056W25107","Villers-la-Ville","25107"
"056W25124","Walhain","25124"
"056W25110","Waterloo","25110"
"056W25112","Wavre","25112"
"056F35002","Bredene","35002"
"056F35029","De Haan","35029"
"056F35005","Gistel","35005"
"056F35006","Ichtegem","35006"
"056F35011","Middelkerke","35011"
"056F35013","Ostende","35013"
"056F35014","Oudenburg","35014"
"056W93010","Cerfontaine","93010"
"056W93014","Couvin","93014"
"056W93018","Doische","93018"
"056W93022","Florennes","93022"
"056W93056","Philippeville","93056"
"056W93090","Viroinval","93090"
"056W93088","Walcourt","93088"
"056F36006","Hooglede","36006"
