"V1","V2"
"Entités administratives","Code INS"
"Butgenbach","63013"
"Dison","63020"
"Eupen","63023"
"Herve","63035"
"Jalhay","63038"
"La Calamine","63040"
"Lierneux","63045"
"Limbourg","63046"
"Lontzen","63048"
"Malmedy","63049"
"Olne","63057"
"Pepinster","63058"
"Plombières","63088"
"Raeren","63061"
"Saint-Vith","63067"
"Spa","63072"
"Stavelot","63073"
"Stoumont","63075"
"Theux","63076"
"Thimister-Clermont","63089"
"Trois-Ponts","63086"
"Verviers","63079"
"Waimes","63080"
"Welkenraedt","63084"
"Arrondissement de Waremme","64000"
"Berloz","64008"
"Braives","64015"
"Crisnée","64021"
"Donceel","64023"
"Faimes","64076"
"Fexhe-le-Haut-Clocher","64025"
"Geer","64029"
"Hannut","64034"
"Lincent","64047"
"Oreye","64056"
"Remicourt","64063"
"Saint-Georges-sur-Meuse","64065"
"Waremme","64074"
"Wasseiges","64075"
"Province du Luxembourg","80000"
"Arrondissement d'Arlon","81000"
"Arlon","81001"
"Attert","81003"
"Aubange","81004"
"Martelange","81013"
"Messancy","81015"
"Arrondissement de Bastogne","82000"
"Bastogne","82003"
"Bertogne","82005"
"Fauvillers","82009"
"Gouvy","82037"
"Houffalize","82014"
"Sainte-Ode","82038"
"Vaux-sur-Sûre","82036"
"Vielsalm","82032"
"Arrondissement de Marche-en-Famenne","83000"
"Durbuy","83012"
"Erezée","83013"
"Hotton","83028"
"La Roche-en-Ardenne","83031"
"Manhay","83055"
"Marche-en-Famenne","83034"
"Nassogne","83040"
"Rendeux","83044"
"Tenneville","83049"
"Arrondissement de Neufchâteau","84000"
"Bertrix","84009"
"Bouillon","84010"
"Daverdisse","84016"
"Herbeumont","84029"
"Léglise","84033"
"Libin","84035"
"Libramont-Chevigny","84077"
"Neufchâteau","84043"
"Paliseul","84050"
"Saint-Hubert","84059"
"Tellin","84068"
"Wellin","84075"
"Arrondissement de Virton","85000"
"Chiny","85007"
"Etalle","85009"
"Florenville","85011"
"Habay","85046"
"Meix-devant-Virton","85024"
"Musson","85026"
"Rouvroy","85047"
"Saint-Léger","85034"
"Tintigny","85039"
"Virton","85045"
"Province de Namur","90000"
"Arrondissement de Dinant","91000"
"Anhée","91005"
"Beauraing","91013"
"Bièvre","91015"
"Ciney","91030"
"Dinant","91034"
"Gedinne","91054"
"Hamois","91059"
"Hastière","91142"
"Havelange","91064"
"Houyet","91072"
"Onhaye","91103"
"Rochefort","91114"
"Somme-Leuze","91120"
"Vresse-sur-Semois","91143"
"Yvoir","91141"
"Arrondissement de Namur","92000"
"Andenne","92003"
"Assesse","92006"
"Eghezée","92035"
"Fernelmont","92138"
"Floreffe","92045"
"Fosses-la-Ville","92048"
"Gembloux","92142"
"Gesves","92054"
"Jemeppe-sur-Sambre","92140"
"La Bruyère","92141"
"Mettet","92087"
"Namur","92094"
"Ohey","92097"
"Profondeville","92101"
"Sambreville","92137"
"Sombreffe","92114"
"Arrondissement de Philippeville","93000"
"Cerfontaine","93010"
"Couvin","93014"
"Doische","93018"
"Florennes","93022"
"Philippeville","93056"
"Viroinval","93090"
"Walcourt","93088"
