"id","pct_2012","precinct_names","neighborhood","yes_percentage"
"84006075PCT7049","7049","Pct 7049/7051","VISITA VLY",0.31
"84006075PCT7051","7051",NA,"VISITA VLY",NA
"84006075PCT7052","7052","Pct 7052/7053","BAYVW/HTRSPT",0.4
"84006075PCT7053","7053",NA,"BAYVW/HTRSPT",NA
"84006075PCT7054","7054","Pct 7054/7044","BAYVW/HTRSPT",0.35
"84006075PCT7101","7101","Pct 7101 MB","HAIGHT ASH",1
"84006075PCT7201","7201","Pct 7201","MAR/PAC HTS",0.44
"84006075PCT7202","7202","Pct 7202","MAR/PAC HTS",0.44
"84006075PCT7203","7203","Pct 7203","MAR/PAC HTS",0.44
"84006075PCT7204","7204",NA,"MAR/PAC HTS",NA
"84006075PCT7205","7205","Pct 7205/7204","MAR/PAC HTS",0.46
"84006075PCT7206","7206","Pct 7206","MAR/PAC HTS",0.39
"84006075PCT7207","7207","Pct 7207","MAR/PAC HTS",0.47
"84006075PCT7208","7208","Pct 7208/7209","MAR/PAC HTS",0.5
"84006075PCT7209","7209",NA,"MAR/PAC HTS",NA
"84006075PCT7301","7301","Pct 7301/7304","N EMBRCDRO",0.49
"84006075PCT7302","7302","Pct 7302","N EMBRCDRO",0.53
"84006075PCT7303","7303","Pct 7303/7306","CHINA",0.46
"84006075PCT7304","7304",NA,"N EMBRCDRO",NA
"84006075PCT7305","7305","Pct 7305/7307","N EMBRCDRO",0.46
"84006075PCT7306","7306",NA,"CHINA",NA
"84006075PCT7307","7307",NA,"N EMBRCDRO",NA
"84006075PCT7308","7308","Pct 7308","N EMBRCDRO",0.48
"84006075PCT7309","7309","Pct 7309","CHINA",0.51
"84006075PCT7311","7311",NA,"CHINA",NA
"84006075PCT7312","7312","Pct 7312","CHINA",0.39
"84006075PCT7313","7313","Pct 7313/7314","CHINA",0.53
"84006075PCT7314","7314",NA,"CHINA",NA
"84006075PCT7315","7315","Pct 7315/7316","CHINA",0.62
"84006075PCT7316","7316",NA,"CHINA",NA
"84006075PCT7317","7317","Pct 7317","N EMBRCDRO",0.6
"84006075PCT7318","7318","Pct 7318/7311","CHINA",0.51
"84006075PCT7319","7319","Pct 7319/7324","CHINA",0.5
"84006075PCT7321","7321","Pct 7321","CHINA",0.41
"84006075PCT7322","7322","Pct 7322","CHINA",0.45
"84006075PCT7323","7323","Pct 7323","CHINA",0.51
"84006075PCT7324","7324",NA,"CHINA",NA
"84006075PCT7325","7325","Pct 7325","CHINA",0.45
"84006075PCT7326","7326","Pct 7326","CHINA",0.57
"84006075PCT7327","7327",NA,"CHINA",NA
"84006075PCT7328","7328",NA,"CVC CTR/DWTN",NA
"84006075PCT7329","7329","Pct 7329/7328","CVC CTR/DWTN",0.45
"84006075PCT7331","7331","Pct 7331","N EMBRCDRO",0.52
"84006075PCT7332","7332","Pct 7332/7334","CVC CTR/DWTN",0.64
"84006075PCT7333","7333","Pct 7333","CHINA",0.52
"84006075PCT7334","7334",NA,"CVC CTR/DWTN",NA
