"id","municipality_name","entitled_to_vote","turnout","yes","no","yes_percentage"
75602500591,"Saxeten",96,45.8,30,13,69.8
75602450906,"Schangnau",769,57.5,347,95,78.5
75602500786,"Schattenhalb",436,54.1,140,96,59.3
75602410708,"Schelten",63,33.3,12,9,57.1
75602420747,"Scheuren",352,69.6,123,122,50.2
75602460624,"Schlosswil",512,61.5,145,170,46
75602430311,"Schüpfen",2892,59.9,690,1042,39.8
75602420748,"Schwadernau",497,59.2,156,138,53.1
75602500592,"Schwanden bei Brienz",485,61.4,134,164,45
75602460855,"Schwarzenburg",5531,57,1470,1682,46.6
75602440341,"Schwarzhäusern",412,61.7,147,105,58.3
75602470937,"Schwendibach",198,65.2,77,52,59.7
75602440988,"Seeberg",1269,58.1,373,364,50.6
75602430312,"Seedorf (BE)",2379,63,764,735,51
75602410709,"Seehof",67,40.3,18,9,66.7
75602470883,"Seftigen",1705,58.9,498,506,49.6
75602450907,"Signau",2188,56.5,728,509,58.9
75602470938,"Sigriswil",3876,65.9,1559,997,61
75602430499,"Siselen",459,59.9,132,143,48
75602410444,"Sonceboz-Sombeval",1255,49.4,288,332,46.5
75602410445,"Sonvilier",877,47.1,190,223,46
75602410711,"Sorvilier",216,56,55,66,45.5
75602490768,"Spiez",9657,62.7,2579,3479,42.6
75602480793,"St. Stephan",1059,68.3,535,188,74
75602470939,"Steffisburg",11857,62.6,3305,4117,44.5
75602460358,"Stettlen",2312,66.7,536,1005,34.8
75602470770,"Stocken-Höfen",792,53.8,289,137,67.8
75602430749,"Studen (BE)",2122,55.2,558,614,47.6
75602450957,"Sumiswald",4117,52.5,1070,1091,49.5
75602420750,"Sutz-Lattrigen",1057,63.1,272,395,40.8
75602460625,"Tägertschi",301,69.8,102,108,48.6
75602430751,"Täuffelen",2094,64.4,619,729,45.9
75602410713,"Tavannes",2233,48.4,476,604,44.1
75602470940,"Teuffenthal (BE)",142,61.3,64,23,73.6
75602470941,"Thierachern",1836,64.4,651,532,55
75602440989,"Thörigen",851,57.3,280,208,57.4
75602470942,"Thun",32683,59.4,7850,11553,40.5
75602440342,"Thunstetten",2263,56,694,574,54.7
75602460884,"Toffen",1941,64.4,527,723,42.2
75602450958,"Trachselwald",795,54.5,263,170,60.7
75602410446,"Tramelan",3139,55.2,692,1041,39.9
75602430500,"Treiten",320,63.1,120,80,60
75602450908,"Trub",1328,43.7,389,191,67.1
75602450909,"Trubschachen",1116,54.9,313,300,51.1
75602430501,"Tschugg",301,66.1,66,133,33.2
75602420756,"Twann-Tüscherz",921,65.9,219,388,36.1
75602470943,"Uebeschi",521,59.7,209,102,67.2
75602470944,"Uetendorf",4701,60.4,1575,1263,55.5
75602470945,"Unterlangenegg",750,57.7,295,138,68.1
75602500593,"Unterseen",4086,61.4,1069,1439,42.6
75602440344,"Ursenbach",716,47.1,188,149,55.8
75602460551,"Urtenen-Schönbühl",4226,58.6,1029,1446,41.6
75602470885,"Uttigen",1501,58.8,419,463,47.5
75602450552,"Utzenstorf",3192,59.3,840,1053,44.4
75602410717,"Valbirse",2656,55.9,743,742,50
75602460359,"Vechigen",4038,69.1,1099,1690,39.4
75602410448,"Villeret",640,55.5,149,206,42
75602430502,"Vinelz",651,69,175,274,39
75602470946,"Wachseldorn",180,67.8,93,29,76.2
75602460888,"Wald (BE)",1340,61.6,370,455,44.8
75602460626,"Walkringen",1446,58,465,373,55.5
