"id","municipality_number","municipality_name","district_number","canton_code","gdekt","gdebznr","gdenr","gdename","gdenamk","gdebzna","gdektna","gdemutdat"
75602470948,948,"Forst-Längenbühl",247,"BE","BE",247,948,"Forst-Längenbühl","Forst-Längenbühl","Verwaltungskreis Thun","Bern / Berne","2010-01-01"
75602460538,538,"Fraubrunnen",246,"BE","BE",246,538,"Fraubrunnen","Fraubrunnen","Verwaltungskreis Bern-Mittelland","Bern / Berne","2014-01-01"
75602460663,663,"Frauenkappelen",246,"BE","BE",246,663,"Frauenkappelen","Frauenkappelen","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602460607,607,"Freimettigen",246,"BE","BE",246,607,"Freimettigen","Freimettigen","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602490563,563,"Frutigen",249,"BE","BE",249,563,"Frutigen","Frutigen","Verwaltungskreis Frutigen-Niedersimmental","Bern / Berne","2010-01-01"
75602500578,578,"Gündlischwand",250,"BE","BE",250,578,"Gündlischwand","Gündlischwand","Verwaltungskreis Interlaken-Oberhasli","Bern / Berne","2010-01-01"
75602430494,494,"Gals",243,"BE","BE",243,494,"Gals","Gals","Verwaltungskreis Seeland","Bern / Berne","2010-01-01"
75602430495,495,"Gampelen",243,"BE","BE",243,495,"Gampelen","Gampelen","Verwaltungskreis Seeland","Bern / Berne","2010-01-01"
75602460865,865,"Gelterfingen",246,"BE","BE",246,865,"Gelterfingen","Gelterfingen","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602460866,866,"Gerzensee",246,"BE","BE",246,866,"Gerzensee","Gerzensee","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602460664,664,"Golaten",246,"BE","BE",246,664,"Golaten","Golaten","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602440326,326,"Gondiswil",244,"BE","BE",244,326,"Gondiswil","Gondiswil","Verwaltungskreis Oberaargau","Bern / Berne","2010-01-01"
75602440976,976,"Graben",244,"BE","BE",244,976,"Graben","Graben","Verwaltungskreis Oberaargau","Bern / Berne","2010-01-01"
75602410694,694,"Grandval",241,"BE","BE",241,694,"Grandval","Grandval","Arrondissement administratif Jura bernois","Bern / Berne","2010-01-01"
75602500576,576,"Grindelwald",250,"BE","BE",250,576,"Grindelwald","Grindelwald","Verwaltungskreis Interlaken-Oberhasli","Bern / Berne","2010-01-01"
75602430303,303,"Grossaffoltern",243,"BE","BE",243,303,"Grossaffoltern","Grossaffoltern","Verwaltungskreis Seeland","Bern / Berne","2010-01-01"
75602460608,608,"Grosshöchstetten",246,"BE","BE",246,608,"Grosshöchstetten","Grosshöchstetten","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602480841,841,"Gsteig",248,"BE","BE",248,841,"Gsteig","Gsteig","Verwaltungskreis Obersimmental-Saanen","Bern / Berne","2010-01-01"
75602500577,577,"Gsteigwiler",250,"BE","BE",250,577,"Gsteigwiler","Gsteigwiler","Verwaltungskreis Interlaken-Oberhasli","Bern / Berne","2010-01-01"
75602460852,852,"Guggisberg",246,"BE","BE",246,852,"Guggisberg","Guggisberg","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602460665,665,"Gurbrü",246,"BE","BE",246,665,"Gurbrü","Gurbrü","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602470867,867,"Gurzelen",247,"BE","BE",247,867,"Gurzelen","Gurzelen","Verwaltungskreis Thun","Bern / Berne","2010-01-01"
75602500782,782,"Guttannen",250,"BE","BE",250,782,"Guttannen","Guttannen","Verwaltungskreis Interlaken-Oberhasli","Bern / Berne","2010-01-01"
75602450410,410,"Höchstetten",245,"BE","BE",245,410,"Höchstetten","Höchstetten","Verwaltungskreis Emmental","Bern / Berne","2010-01-01"
75602460609,609,"Häutligen",246,"BE","BE",246,609,"Häutligen","Häutligen","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602500579,579,"Habkern",250,"BE","BE",250,579,"Habkern","Habkern","Verwaltungskreis Interlaken-Oberhasli","Bern / Berne","2010-01-01"
75602430736,736,"Hagneck",243,"BE","BE",243,736,"Hagneck","Hagneck","Verwaltungskreis Seeland","Bern / Berne","2010-01-01"
75602450406,406,"Hasle bei Burgdorf",245,"BE","BE",245,406,"Hasle bei Burgdorf","Hasle bei Burgdorf","Verwaltungskreis Emmental","Bern / Berne","2010-01-01"
75602500783,783,"Hasliberg",250,"BE","BE",250,783,"Hasliberg","Hasliberg","Verwaltungskreis Interlaken-Oberhasli","Bern / Berne","2010-01-01"
75602470927,927,"Heiligenschwendi",247,"BE","BE",247,927,"Heiligenschwendi","Heiligenschwendi","Verwaltungskreis Thun","Bern / Berne","2010-01-01"
75602470928,928,"Heimberg",247,"BE","BE",247,928,"Heimberg","Heimberg","Verwaltungskreis Thun","Bern / Berne","2010-01-01"
75602440977,977,"Heimenhausen",244,"BE","BE",244,977,"Heimenhausen","Heimenhausen","Verwaltungskreis Oberaargau","Bern / Berne","2010-01-01"
75602450407,407,"Heimiswil",245,"BE","BE",245,407,"Heimiswil","Heimiswil","Verwaltungskreis Emmental","Bern / Berne","2010-01-01"
75602450408,408,"Hellsau",245,"BE","BE",245,408,"Hellsau","Hellsau","Verwaltungskreis Emmental","Bern / Berne","2010-01-01"
75602460610,610,"Herbligen",246,"BE","BE",246,610,"Herbligen","Herbligen","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602430737,737,"Hermrigen",243,"BE","BE",243,737,"Hermrigen","Hermrigen","Verwaltungskreis Seeland","Bern / Berne","2010-01-01"
75602440979,979,"Herzogenbuchsee",244,"BE","BE",244,979,"Herzogenbuchsee","Herzogenbuchsee","Verwaltungskreis Oberaargau","Bern / Berne","2010-01-01"
75602470929,929,"Hilterfingen",247,"BE","BE",247,929,"Hilterfingen","Hilterfingen","Verwaltungskreis Thun","Bern / Berne","2010-01-01"
75602450409,409,"Hindelbank",245,"BE","BE",245,409,"Hindelbank","Hindelbank","Verwaltungskreis Emmental","Bern / Berne","2010-01-01"
75602500580,580,"Hofstetten bei Brienz",250,"BE","BE",250,580,"Hofstetten bei Brienz","Hofstetten bei Brienz","Verwaltungskreis Interlaken-Oberhasli","Bern / Berne","2010-01-01"
75602470931,931,"Homberg",247,"BE","BE",247,931,"Homberg","Homberg","Verwaltungskreis Thun","Bern / Berne","2010-01-01"
75602470932,932,"Horrenbach-Buchen",247,"BE","BE",247,932,"Horrenbach-Buchen","Horrenbach-Buchen","Verwaltungskreis Thun","Bern / Berne","2010-01-01"
75602440954,954,"Huttwil",244,"BE","BE",244,954,"Huttwil","Huttwil","Verwaltungskreis Oberaargau","Bern / Berne","2010-01-01"
75602460541,541,"Iffwil",246,"BE","BE",246,541,"Iffwil","Iffwil","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602440980,980,"Inkwil",244,"BE","BE",244,980,"Inkwil","Inkwil","Verwaltungskreis Oberaargau","Bern / Berne","2010-01-01"
75602500784,784,"Innertkirchen",250,"BE","BE",250,784,"Innertkirchen","Innertkirchen","Verwaltungskreis Interlaken-Oberhasli","Bern / Berne","2014-01-01"
75602430496,496,"Ins",243,"BE","BE",243,496,"Ins","Ins","Verwaltungskreis Seeland","Bern / Berne","2010-01-01"
75602500581,581,"Interlaken",250,"BE","BE",250,581,"Interlaken","Interlaken","Verwaltungskreis Interlaken-Oberhasli","Bern / Berne","2010-01-01"
75602420739,739,"Ipsach",242,"BE","BE",242,739,"Ipsach","Ipsach","Verwaltungskreis Biel/Bienne","Bern / Berne","2010-01-01"
75602500582,582,"Iseltwald",250,"BE","BE",250,582,"Iseltwald","Iseltwald","Verwaltungskreis Interlaken-Oberhasli","Bern / Berne","2010-01-01"
75602460362,362,"Ittigen",246,"BE","BE",246,362,"Ittigen","Ittigen","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602460868,868,"Jaberg",246,"BE","BE",246,868,"Jaberg","Jaberg","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602460540,540,"Jegenstorf",246,"BE","BE",246,540,"Jegenstorf","Jegenstorf","Verwaltungskreis Bern-Mittelland","Bern / Berne","2014-01-01"
75602430738,738,"Jens",243,"BE","BE",243,738,"Jens","Jens","Verwaltungskreis Seeland","Bern / Berne","2010-01-01"
75602460355,355,"Köniz",246,"BE","BE",246,355,"Köniz","Köniz","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602430304,304,"Kallnach",243,"BE","BE",243,304,"Kallnach","Kallnach","Verwaltungskreis Seeland","Bern / Berne","2013-01-01"
75602490564,564,"Kandergrund",249,"BE","BE",249,564,"Kandergrund","Kandergrund","Verwaltungskreis Frutigen-Niedersimmental","Bern / Berne","2010-01-01"
75602490565,565,"Kandersteg",249,"BE","BE",249,565,"Kandersteg","Kandersteg","Verwaltungskreis Frutigen-Niedersimmental","Bern / Berne","2010-01-01"
75602430305,305,"Kappelen",243,"BE","BE",243,305,"Kappelen","Kappelen","Verwaltungskreis Seeland","Bern / Berne","2010-01-01"
75602460869,869,"Kaufdorf",246,"BE","BE",246,869,"Kaufdorf","Kaufdorf","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602460870,870,"Kehrsatz",246,"BE","BE",246,870,"Kehrsatz","Kehrsatz","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602450411,411,"Kernenried",245,"BE","BE",245,411,"Kernenried","Kernenried","Verwaltungskreis Emmental","Bern / Berne","2010-01-01"
75602460611,611,"Kiesen",246,"BE","BE",246,611,"Kiesen","Kiesen","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602450412,412,"Kirchberg (BE)",245,"BE","BE",245,412,"Kirchberg (BE)","Kirchberg (BE)","Verwaltungskreis Emmental","Bern / Berne","2010-01-01"
75602460872,872,"Kirchdorf (BE)",246,"BE","BE",246,872,"Kirchdorf (BE)","Kirchdorf (BE)","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602460873,873,"Kirchenthurnen",246,"BE","BE",246,873,"Kirchenthurnen","Kirchenthurnen","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602460354,354,"Kirchlindach",246,"BE","BE",246,354,"Kirchlindach","Kirchlindach","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602460612,612,"Konolfingen",246,"BE","BE",246,612,"Konolfingen","Konolfingen","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602450413,413,"Koppigen",245,"BE","BE",245,413,"Koppigen","Koppigen","Verwaltungskreis Emmental","Bern / Berne","2010-01-01"
75602490566,566,"Krattigen",249,"BE","BE",249,566,"Krattigen","Krattigen","Verwaltungskreis Frutigen-Niedersimmental","Bern / Berne","2010-01-01"
75602450414,414,"Krauchthal",245,"BE","BE",245,414,"Krauchthal","Krauchthal","Verwaltungskreis Emmental","Bern / Berne","2010-01-01"
75602460666,666,"Kriechenwil",246,"BE","BE",246,666,"Kriechenwil","Kriechenwil","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602430497,497,"Lüscherz",243,"BE","BE",243,497,"Lüscherz","Lüscherz","Verwaltungskreis Seeland","Bern / Berne","2010-01-01"
75602500586,586,"Lütschental",250,"BE","BE",250,586,"Lütschental","Lütschental","Verwaltungskreis Interlaken-Oberhasli","Bern / Berne","2010-01-01"
75602450955,955,"Lützelflüh",245,"BE","BE",245,955,"Lützelflüh","Lützelflüh","Verwaltungskreis Emmental","Bern / Berne","2010-01-01"
75602410435,435,"La Ferrière",241,"BE","BE",241,435,"La Ferrière","La Ferrière","Arrondissement administratif Jura bernois","Bern / Berne","2010-01-01"
75602410723,723,"La Neuveville",241,"BE","BE",241,723,"La Neuveville","La Neuveville","Arrondissement administratif Jura bernois","Bern / Berne","2010-01-01"
75602460613,613,"Landiswil",246,"BE","BE",246,613,"Landiswil","Landiswil","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602440329,329,"Langenthal",244,"BE","BE",244,329,"Langenthal","Langenthal","Verwaltungskreis Oberaargau","Bern / Berne","2010-01-01"
75602450902,902,"Langnau im Emmental",245,"BE","BE",245,902,"Langnau im Emmental","Langnau im Emmental","Verwaltungskreis Emmental","Bern / Berne","2010-01-01"
75602480842,842,"Lauenen",248,"BE","BE",248,842,"Lauenen","Lauenen","Verwaltungskreis Obersimmental-Saanen","Bern / Berne","2010-01-01"
75602460667,667,"Laupen",246,"BE","BE",246,667,"Laupen","Laupen","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602450903,903,"Lauperswil",245,"BE","BE",245,903,"Lauperswil","Lauperswil","Verwaltungskreis Emmental","Bern / Berne","2010-01-01"
75602500584,584,"Lauterbrunnen",250,"BE","BE",250,584,"Lauterbrunnen","Lauterbrunnen","Verwaltungskreis Interlaken-Oberhasli","Bern / Berne","2010-01-01"
75602500585,585,"Leissigen",250,"BE","BE",250,585,"Leissigen","Leissigen","Verwaltungskreis Interlaken-Oberhasli","Bern / Berne","2010-01-01"
75602420387,387,"Lengnau (BE)",242,"BE","BE",242,387,"Lengnau (BE)","Lengnau (BE)","Verwaltungskreis Biel/Bienne","Bern / Berne","2010-01-01"
75602480792,792,"Lenk",248,"BE","BE",248,792,"Lenk","Lenk","Verwaltungskreis Obersimmental-Saanen","Bern / Berne","2010-01-01"
75602430388,388,"Leuzigen",243,"BE","BE",243,388,"Leuzigen","Leuzigen","Verwaltungskreis Seeland","Bern / Berne","2010-01-01"
75602420740,740,"Ligerz",242,"BE","BE",242,740,"Ligerz","Ligerz","Verwaltungskreis Biel/Bienne","Bern / Berne","2010-01-01"
75602460614,614,"Linden",246,"BE","BE",246,614,"Linden","Linden","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602460874,874,"Lohnstorf",246,"BE","BE",246,874,"Lohnstorf","Lohnstorf","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602440331,331,"Lotzwil",244,"BE","BE",244,331,"Lotzwil","Lotzwil","Verwaltungskreis Oberaargau","Bern / Berne","2010-01-01"
75602410696,696,"Loveresse",241,"BE","BE",241,696,"Loveresse","Loveresse","Arrondissement administratif Jura bernois","Bern / Berne","2010-01-01"
75602430306,306,"Lyss",243,"BE","BE",243,306,"Lyss","Lyss","Verwaltungskreis Seeland","Bern / Berne","2011-01-01"
75602450415,415,"Lyssach",245,"BE","BE",245,415,"Lyssach","Lyssach","Verwaltungskreis Emmental","Bern / Berne","2010-01-01"
75602460668,668,"Mühleberg",246,"BE","BE",246,668,"Mühleberg","Mühleberg","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602460875,875,"Mühledorf (BE)",246,"BE","BE",246,875,"Mühledorf (BE)","Mühledorf (BE)","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602460876,876,"Mühlethurnen",246,"BE","BE",246,876,"Mühlethurnen","Mühlethurnen","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602460546,546,"Münchenbuchsee",246,"BE","BE",246,546,"Münchenbuchsee","Münchenbuchsee","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602460669,669,"Münchenwiler",246,"BE","BE",246,669,"Münchenwiler","Münchenwiler","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602460616,616,"Münsingen",246,"BE","BE",246,616,"Münsingen","Münsingen","Verwaltungskreis Bern-Mittelland","Bern / Berne","2013-01-01"
75602430498,498,"Müntschemier",243,"BE","BE",243,498,"Müntschemier","Müntschemier","Verwaltungskreis Seeland","Bern / Berne","2010-01-01"
75602420742,742,"Mörigen",242,"BE","BE",242,742,"Mörigen","Mörigen","Verwaltungskreis Biel/Bienne","Bern / Berne","2010-01-01"
75602450416,416,"Mötschwil",245,"BE","BE",245,416,"Mötschwil","Mötschwil","Verwaltungskreis Emmental","Bern / Berne","2010-01-01"
