"municipality_name","id","entitled_to_vote","turnout","yes_m","no_m","yes_m_pct","no_m_pct","yes_e","no_e","yes_e_pct","no_e_pct","yes_f","no_f","yes_f_pct","no_f_pct","yes_r","no_r","yes_r_pct","no_r_pct"
"Gurzelen",75602470867,649,61.8,229,165,58.1,41.9,230,171,57.4,42.6,151,237,38.9,61.1,259,139,65.1,34.9
"Guttannen",75602500782,226,58,54,72,42.9,57.1,63,67,48.5,51.5,48,80,37.5,62.5,79,52,60.3,39.7
"Habkern",75602500579,491,57.8,159,119,57.2,42.8,200,84,70.4,29.6,100,178,36,64,213,66,76.3,23.7
"Hagneck",75602430736,343,63,114,97,54,46,104,111,48.4,51.6,101,110,47.9,52.1,129,87,59.7,40.3
"Hasle bei Burgdorf",75602450406,2589,57.5,765,684,52.8,47.2,741,747,49.8,50.2,557,879,38.8,61.2,944,535,63.8,36.2
"Hasliberg",75602500783,839,55.4,212,225,48.5,51.5,260,205,55.9,44.1,176,264,40,60,284,176,61.7,38.3
"Häutligen",75602460609,212,62.3,79,47,62.7,37.3,86,45,65.6,34.4,44,86,33.8,66.2,86,46,65.2,34.8
"Heiligenschwendi",75602470927,524,57.3,172,118,59.3,40.7,164,136,54.7,45.3,108,181,37.4,62.6,210,88,70.5,29.5
"Heimberg",75602470928,4968,59.1,1580,1292,55,45,1505,1431,51.3,48.7,999,1845,35.1,64.9,1974,933,67.9,32.1
"Heimenhausen",75602440977,866,58.4,253,252,50.1,49.9,278,228,54.9,45.1,163,327,33.3,66.7,339,166,67.1,32.9
"Heimiswil",75602450407,1199,55.5,325,328,49.8,50.2,359,307,53.9,46.1,244,404,37.7,62.3,438,225,66.1,33.9
"Hellsau",75602450408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Herbligen",75602460610,461,61.6,153,131,53.9,46.1,163,120,57.6,42.4,82,192,29.9,70.1,202,80,71.6,28.4
"Hermrigen",75602430737,244,61.5,84,66,56,44,91,58,61.1,38.9,51,88,36.7,63.3,113,34,76.9,23.1
"Herzogenbuchsee",75602440979,4869,60.2,1347,1535,46.7,53.3,1082,1849,36.9,63.1,1036,1817,36.3,63.7,1738,1177,59.6,40.4
"Hilterfingen",75602470929,3160,64.8,914,1113,45.1,54.9,739,1308,36.1,63.9,757,1246,37.8,62.2,1070,953,52.9,47.1
"Hindelbank",75602450409,1790,57.5,504,512,49.6,50.4,459,571,44.6,55.4,339,664,33.8,66.2,632,389,61.9,38.1
"Höchstetten",75602450410,370,57.8,124,87,58.8,41.2,126,88,58.9,41.1,80,130,38.1,61.9,172,41,80.8,19.2
"Hofstetten bei Brienz",75602500580,433,57.5,130,116,52.8,47.2,127,122,51,49,81,166,32.8,67.2,173,74,70,30
"Homberg",75602470931,384,64.8,162,79,67.2,32.8,175,74,70.3,29.7,91,146,38.4,61.6,171,71,70.7,29.3
"Horrenbach-Buchen",75602470932,182,61.5,77,32,70.6,29.4,101,11,90.2,9.8,42,66,38.9,61.1,88,23,79.3,20.7
