"id","municipality_name","valid_votes","yes","no","yes_percentage"
75623046076,"Obergoms",305,159,146,52.1
75623056081,"Les Agettes",158,64,94,40.5
75623056082,"Ayent",1811,733,1078,40.5
75623056083,"Evolène",911,431,480,47.3
75623056084,"Hérémence",801,373,428,46.6
75623056087,"Saint-Martin (VS)",493,205,288,41.6
75623056089,"Vex",772,325,447,42.1
75623056090,"Mont-Noble",520,210,310,40.4
75623066101,"Agarn",376,198,178,52.7
75623066102,"Albinen",146,76,70,52.1
75623066104,"Ergisch",129,80,49,62
75623066109,"Inden",51,23,28,45.1
75623066110,"Leuk",1924,943,981,49
75623066111,"Leukerbad",478,246,232,51.5
75623066112,"Oberems",50,26,24,52
75623066113,"Salgesch",724,406,318,56.1
75623066116,"Varen",333,173,160,52
75623066117,"Guttet-Feschel",211,130,81,61.6
75623066118,"Gampel-Bratsch",1013,554,459,54.7
75623066119,"Turtmann-Unterems",582,288,294,49.5
75623076131,"Bovernier",378,178,200,47.1
75623076132,"Charrat",599,247,352,41.2
75623076133,"Fully",3432,1434,1998,41.8
75623076134,"Isérables",385,245,140,63.6
75623076135,"Leytron",1384,711,673,51.4
75623076136,"Martigny",6077,2292,3785,37.7
75623076137,"Martigny-Combe",972,386,586,39.7
75623076139,"Riddes",1097,571,526,52.1
75623076140,"Saillon",961,428,533,44.5
75623076141,"Saxon",1762,970,792,55.1
75623076142,"Trient",76,30,46,39.5
75623086151,"Champéry",523,231,292,44.2
75623086152,"Collombey-Muraz",2802,1296,1506,46.3
75623086153,"Monthey",5660,2411,3249,42.6
75623086154,"Port-Valais",1212,599,613,49.4
75623086155,"Saint-Gingolph",332,142,190,42.8
75623086156,"Troistorrents",1940,1005,935,51.8
75623086157,"Val-d'Illiez",803,462,341,57.5
75623086158,"Vionnaz",968,451,517,46.6
75623086159,"Vouvry",1291,557,734,43.1
75623096172,"Bister",20,14,6,70
75623096173,"Bitsch",436,201,235,46.1
75623096177,"Grengiols",166,84,82,50.6
75623096181,"Riederalp",252,116,136,46
75623096191,"Ausserberg",364,213,151,58.5
75623096192,"Blatten",169,86,83,50.9
