"id","municipality_name","yes2010","yes2014","yes2016"
75602410441,"Renan (BE)",53.4,33.4,43.3
75602410442,"Romont (BE)",71.1,63.8,53.5
75602410443,"Saint-Imier",50.6,47.7,38.8
75602410444,"Sonceboz-Sombeval",59.9,53.9,46.5
75602410445,"Sonvilier",51.6,54.2,46
75602410446,"Tramelan",48.4,49.2,39.9
75602410448,"Villeret",51.4,50.6,42
75602410681,"Belprahon",53.8,50.4,50.3
75602410683,"Champoz",81.8,58.8,64.5
75602410687,"Corcelles (BE)",72.6,68.9,64
75602410690,"Court",64.1,58.6,56.5
75602410691,"Crémines",57.9,51.6,50
75602410692,"Eschert",65,57.8,51.9
75602410694,"Grandval",57.4,60.8,57.2
75602410696,"Loveresse",56.9,62.4,54.7
75602410700,"Moutier",46.5,46.7,40
75602410701,"Perrefitte",70,66.8,53.6
75602410703,"Reconvilier",60,57.4,51.4
75602410704,"Roches (BE)",73.3,68.9,68.1
75602410706,"Saicourt",66.1,64.1,55.1
75602410707,"Saules (BE)",85,70.7,69.2
75602410708,"Schelten",66.7,44.4,57.1
75602410709,"Seehof",78.9,78.1,66.7
75602410711,"Sorvilier",54.2,48.2,45.5
75602410713,"Tavannes",54.3,50.8,44.1
75602410715,"Rebévelier",71.4,65.4,55
75602410723,"La Neuveville",38.6,37.2,29.7
75602410724,"Nods",52.3,46.2,49.6
75602420371,"Biel/Bienne",47.4,44,31.2
75602420372,"Evilard",43.7,36.6,27.8
75602420387,"Lengnau (BE)",65.5,64,47.6
75602420390,"Meinisberg",65.6,64.3,49.3
75602420392,"Pieterlen",66.9,66.6,50.5
75602420731,"Aegerten",66.9,59,49.7
75602420732,"Bellmund",58.2,50.7,38.3
75602420733,"Brügg",62.5,58.1,41.9
75602420739,"Ipsach",57.2,49.9,38.4
75602420740,"Ligerz",43.7,40.5,29.3
75602420742,"Mörigen",69,59.5,49.6
75602420743,"Nidau",52.7,47.3,32.8
75602420744,"Orpund",70.5,61.1,49
75602420745,"Port",61,55.3,43.1
75602420746,"Safnern",65.5,60.4,50.4
75602420747,"Scheuren",71.7,63.2,50.2
75602420748,"Schwadernau",67.6,60,53.1
75602420750,"Sutz-Lattrigen",62.1,53.7,40.8
75602420756,"Twann-Tüscherz",50.9,47.7,36.1
75602430301,"Aarberg",57.9,53,46
75602430302,"Bargen (BE)",63.2,57.9,43.2
75602430303,"Grossaffoltern",53.7,53.9,44
75602430304,"Kallnach",71.1,63.4,50.7
75602430305,"Kappelen",69.8,64,52
75602430306,"Lyss",57.4,52.2,39.3
75602430309,"Radelfingen",59.3,57.9,46
75602430310,"Rapperswil (BE)",58.9,58,48.6
75602430311,"Schüpfen",52.4,48.9,39.8
75602430312,"Seedorf (BE)",61.7,61.2,51
75602430381,"Arch",72.9,68.8,58
75602430382,"Büetigen",73,67.1,56
75602430383,"Büren an der Aare",63.1,56.7,43.9
75602430385,"Diessbach bei Büren",64,60.9,51.7
75602430386,"Dotzigen",63.2,62.1,49.8
75602430388,"Leuzigen",66.7,69.4,51.3
75602430389,"Meienried",NA,NA,NA
75602430391,"Oberwil bei Büren",62,61.4,52.6
75602430393,"Rüti bei Büren",64.2,63.8,52.4
75602430394,"Wengi",69.5,65.3,55.2
75602430491,"Brüttelen",67.9,62,58.9
75602430492,"Erlach",46.9,43.2,35
75602430493,"Finsterhennen",61.8,64.1,55.3
75602430494,"Gals",59.5,51.5,42.1
75602430495,"Gampelen",66.1,53.8,49.4
75602430496,"Ins",56,51.2,40.3
75602430497,"Lüscherz",70,65.4,55.5
75602430498,"Müntschemier",72,66.1,54.5
75602430499,"Siselen",62.6,59.4,48
75602430500,"Treiten",68.5,59.8,60
75602430501,"Tschugg",41.5,44.1,33.2
75602430502,"Vinelz",58.7,50.4,39
75602430734,"Bühl",71.2,64.4,56.4
75602430735,"Epsach",67.1,66.9,54.7
75602430736,"Hagneck",65.7,64.4,48.4
75602430737,"Hermrigen",81.8,71.2,61.1
75602430738,"Jens",60.7,52.3,44.6
75602430741,"Merzligen",53.1,51.9,39.3
75602430749,"Studen (BE)",72.1,60.5,47.6
75602430751,"Täuffelen",62,55.7,45.9
75602430754,"Walperswil",70.3,62.1,52.5
75602430755,"Worben",62.4,70.2,50.8
75602440321,"Aarwangen",62,58.5,48
75602440322,"Auswil",73.4,74.1,65.7
75602440323,"Bannwil",67.8,63.7,57.7
75602440324,"Bleienbach",69.6,72.5,57.1
75602440325,"Busswil bei Melchnau",77.5,71.8,61.3
75602440326,"Gondiswil",76.5,72,60.2
75602440329,"Langenthal",52.3,47.3,36.1
75602440331,"Lotzwil",61.5,58.6,42.1
75602440332,"Madiswil",66.1,62.5,49.3
75602440333,"Melchnau",67.4,58.4,52.5
75602440334,"Obersteckholz",70.4,67.2,57.6
75602440335,"Oeschenbach",73.2,71.7,61.7
75602440336,"Reisiswil",71.4,80,62.5
75602440337,"Roggwil (BE)",59.5,58.5,47.8
75602440338,"Rohrbach",72.3,70.1,58
75602440339,"Rohrbachgraben",71.4,76.3,64.6
75602440340,"Rütschelen",70.7,70.2,53.8
75602440341,"Schwarzhäusern",68.9,64.1,58.3
75602440342,"Thunstetten",69,65.8,54.7
75602440344,"Ursenbach",68,67.6,55.8
75602440345,"Wynau",71,66.1,53.5
75602440953,"Eriswil",68.5,67.2,57.3
75602440954,"Huttwil",64,60.7,48.3
75602440959,"Walterswil (BE)",75,78.7,63.8
75602440960,"Wyssachen",79.1,76.1,62
75602440971,"Attiswil",69.5,65.4,54.1
75602440972,"Berken",83.3,88.5,71.4
75602440973,"Bettenhausen",69.3,67.9,57
75602440975,"Farnern",69.1,69.1,57.9
75602440976,"Graben",77,74,58.9
75602440977,"Heimenhausen",69.6,66.3,54.9
75602440979,"Herzogenbuchsee",52.2,48.4,36.9
75602440980,"Inkwil",70.7,64.9,57.1
75602440981,"Niederbipp",70.7,67.2,55.9
75602440982,"Niederönz",62.1,56.9,44.1
75602440983,"Oberbipp",69.1,60.2,56.5
75602440985,"Ochlenberg",70.5,65.7,48.2
75602440987,"Rumisberg",74.9,70.9,61.9
75602440988,"Seeberg",60,61.9,50.6
75602440989,"Thörigen",70.9,68.9,57.4
75602440990,"Walliswil bei Niederbipp",70.9,65.1,54.3
75602440991,"Walliswil bei Wangen",70.5,66.4,55.5
75602440992,"Wangen an der Aare",61.4,60.8,48.2
75602440993,"Wangenried",73.5,67.4,51.2
75602440995,"Wiedlisbach",67.4,64,51.6
75602440996,"Wolfisberg",61.9,65.9,57.1
75602450401,"Aefligen",63.6,69.6,55.6
75602450402,"Alchenstorf",69,67.5,54.9
75602450404,"Burgdorf",44.8,40.2,29.2
75602450405,"Ersigen",60.5,65.1,48.2
75602450406,"Hasle bei Burgdorf",64.9,62.3,49.8
75602450407,"Heimiswil",63.8,64.6,53.9
75602450408,"Hellsau",NA,NA,NA
75602450409,"Hindelbank",59.1,55.7,44.6
75602450410,"Höchstetten",66.1,71,58.9
75602450411,"Kernenried",67.1,66.5,57
75602450412,"Kirchberg (BE)",57.4,49.9,41.3
75602450413,"Koppigen",62.1,58.2,46
75602450414,"Krauchthal",64.7,64.7,54.2
75602450415,"Lyssach",67.1,58.9,51.2
75602450416,"Mötschwil",67,70.5,48.2
75602450418,"Oberburg",64.6,62.3,50.6
75602450420,"Rüdtligen-Alchenflüh",67.1,63.8,48.5
75602450421,"Rumendingen",86.7,61.7,50
75602450422,"Rüti bei Lyssach",NA,NA,NA
75602450423,"Willadingen",69.6,70.8,49.1
75602450424,"Wynigen",64.2,60.4,50.9
75602450533,"Bätterkinden",52.7,49.7,36.2
75602450552,"Utzenstorf",58.9,54.6,44.4
75602450554,"Wiler bei Utzenstorf",57.4,54.3,46.6
75602450556,"Zielebach",75.4,70.4,57.1
75602450901,"Eggiwil",77.9,77.4,71.7
75602450902,"Langnau im Emmental",53.3,53.3,41.2
75602450903,"Lauperswil",71.1,69.9,61.8
75602450904,"Röthenbach im Emmental",84.8,82.7,75
75602450905,"Rüderswil",68.3,67.7,59.2
75602450906,"Schangnau",84.9,84.3,78.5
75602450907,"Signau",64.1,70.6,58.9
75602450908,"Trub",77.2,73.5,67.1
75602450909,"Trubschachen",57.1,57.7,51.1
75602450951,"Affoltern im Emmental",67.1,69.6,57.2
75602450952,"Dürrenroth",75.7,75,59.1
75602450955,"Lützelflüh",63,64.7,54
75602450956,"Rüegsau",63.3,63.5,51.9
75602450957,"Sumiswald",64.7,62.6,49.5
75602450958,"Trachselwald",70.6,70.5,60.7
75602460307,"Meikirch",46.3,45.6,33.1
75602460351,"Bern",30.1,27.7,17.3
75602460352,"Bolligen",42.3,42.9,30.5
75602460353,"Bremgarten bei Bern",37.8,35.6,24.7
75602460354,"Kirchlindach",43.2,41.6,32.4
75602460355,"Köniz",42.5,40.6,28.5
75602460356,"Muri bei Bern",40.6,40.1,27.6
75602460357,"Oberbalm",70.6,67.9,59.1
75602460358,"Stettlen",45.9,44.8,34.8
75602460359,"Vechigen",48.9,48.9,39.4
75602460360,"Wohlen bei Bern",42.9,40.2,30.4
75602460361,"Zollikofen",49.3,47.2,34.3
75602460362,"Ittigen",48.6,46.3,33.4
75602460363,"Ostermundigen",51.7,48,34.1
75602460403,"Bäriswil",58.2,56.4,47.5
