Local Measure F - CITY/COUNTY OF SAN FRANCI (190),,,,,,,,,,
,,,,,,,,,,
Precinct Totals,,,,,,,,,,
PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 9507/9509,VBM,9507,1,1308,359,27.45,156,197,9,0
Pct 9511,Election Day,9511,1,569,122,21.44,69,47,5,0
Pct 9511,VBM,9511,1,569,149,26.19,75,72,5,0
Pct 9512,Election Day,9512,1,721,140,19.42,83,57,0,0
Pct 9512,VBM,9512,1,721,181,25.10,98,84,1,0
Pct 9513/9508,Election Day,9513,1,1593,304,19.08,178,125,1,0
Pct 9513/9508,VBM,9513,1,1593,373,23.41,162,209,7,0
Pct 9516/9515,Election Day,9516,1,1505,318,21.13,173,139,4,0
Pct 9516/9515,VBM,9516,1,1505,384,25.51,192,188,10,0
Pct 9518/9517,Election Day,9518,1,1482,313,21.12,159,149,5,0
Pct 9518/9517,VBM,9518,1,1482,360,24.29,155,200,8,0
Pct 9521/9519,Election Day,9521,1,1721,392,22.78,211,176,5,0
Pct 9521/9519,VBM,9521,1,1721,422,24.52,175,246,7,0
Pct 9522/9514,Election Day,9522,1,864,208,24.07,109,93,6,0
Pct 9522/9514,VBM,9522,1,864,197,22.80,90,104,3,0
Pct 9702/9701,Election Day,9702,1,1324,293,22.13,159,131,4,0
Pct 9702/9701,VBM,9702,1,1324,356,26.89,140,214,7,0
Pct 9703,Election Day,9703,1,910,159,17.47,64,93,1,0
Pct 9703,VBM,9703,1,910,299,32.86,117,176,6,0
Pct 9704/9705,Election Day,9704,1,1761,349,19.82,159,189,1,1
Pct 9704/9705,VBM,9704,1,1761,498,28.28,203,287,18,0
Pct 9706 MB,Election Day,9706,1,53,0,0.00,0,0,0,0
Pct 9706 MB,VBM,9706,1,53,30,56.60,15,15,1,0
Pct 9708/9707,Election Day,9708,1,1575,258,16.38,117,136,5,0
Pct 9708/9707,VBM,9708,1,1575,511,32.44,193,309,12,1
Pct 9711,Election Day,9711,1,593,120,20.24,39,76,5,0
Pct 9711,VBM,9711,1,593,197,33.22,72,124,3,0
Pct 9712,Election Day,9712,1,605,129,21.32,67,62,0,0
Pct 9712,VBM,9712,1,605,226,37.36,120,108,3,0
Pct 9713/9709,Election Day,9713,1,1794,281,15.66,132,143,6,0
Pct 9713/9709,VBM,9713,1,1794,517,28.82,207,302,9,0
Pct 9714,Election Day,9714,1,878,155,17.65,70,80,4,0
Pct 9714,VBM,9714,1,878,317,36.10,122,195,4,0
Pct 9715,Election Day,9715,1,538,104,19.33,43,62,0,0
Pct 9715,VBM,9715,1,538,165,30.67,58,109,1,0
Pct 9716/9717,Election Day,9716,1,1800,335,18.61,152,178,5,0
Pct 9716/9717,VBM,9716,1,1800,525,29.17,220,293,14,0
Pct 9718,Election Day,9718,1,791,184,23.26,82,99,3,0
Pct 9718,VBM,9718,1,791,287,36.28,119,167,5,0
Pct 9721/9719,Election Day,9721,1,1443,331,22.94,121,200,9,0
Pct 9721/9719,VBM,9721,1,1443,484,33.54,208,271,11,0
Pct 9722,Election Day,9722,1,574,86,14.98,32,53,1,0
Pct 9722,VBM,9722,1,574,203,35.37,72,127,4,0
Pct 9723,Election Day,9723,1,419,59,14.08,25,34,0,0
Pct 9723,VBM,9723,1,419,182,43.44,73,109,3,0
Pct 9725/9724,Election Day,9725,1,1756,277,15.77,121,152,4,0
Pct 9725/9724,VBM,9725,1,1756,589,33.54,197,401,7,0
Pct 9726,Election Day,9726,1,686,84,12.24,40,43,1,0
Pct 9726,VBM,9726,1,686,129,18.80,53,73,4,0
Pct 9727/9742,Election Day,9727,1,1005,151,15.02,71,77,2,0
Pct 9727/9742,VBM,9727,1,1005,316,31.44,130,179,7,0
Pct 9728/9748,Election Day,9728,1,1788,307,17.17,123,178,6,0
Pct 9728/9748,VBM,9728,1,1788,579,32.38,221,348,12,0
Pct 9729/9734,Election Day,9729,1,1281,265,20.69,108,151,6,1
Pct 9729/9734,VBM,9729,1,1281,448,34.97,154,289,10,1
Pct 9731/9735,Election Day,9731,1,1217,272,22.35,113,158,2,0
Pct 9731/9735,VBM,9731,1,1217,407,33.44,143,263,6,0
Pct 9732 MB,Election Day,9732,1,68,1,1.47,0,1,0,0
Pct 9732 MB,VBM,9732,1,68,39,57.35,20,18,1,0
Pct 9733 MB,Election Day,9733,1,206,1,0.49,0,1,0,0
Pct 9733 MB,VBM,9733,1,206,122,59.22,43,79,0,0
Pct 9737/9736,Election Day,9737,1,1399,277,19.80,128,147,2,0
Pct 9737/9736,VBM,9737,1,1399,500,35.74,225,267,11,0
Pct 9738,Election Day,9738,1,697,115,16.50,57,54,4,0
Pct 9738,VBM,9738,1,697,190,27.26,73,114,2,0
Pct 9741,Election Day,9741,1,917,91,9.92,32,48,11,0
Pct 9741,VBM,9741,1,917,40,4.36,14,23,4,0
Pct 9744/9739,Election Day,9744,1,1656,218,13.16,106,110,2,0
Pct 9744/9739,VBM,9744,1,1656,314,18.96,149,157,10,0
Pct 9745/9743,Election Day,9745,1,1814,211,11.63,114,93,7,0
Pct 9745/9743,VBM,9745,1,1814,377,20.78,169,205,6,0
Pct 9746,Election Day,9746,1,839,161,19.19,62,98,1,0
Pct 9746,VBM,9746,1,839,274,32.66,106,168,6,0
Pct 9747,Election Day,9747,1,889,156,17.55,82,70,4,0
Pct 9747,VBM,9747,1,889,232,26.10,81,146,6,0
Pct 9749,Election Day,9749,1,802,122,15.21,46,74,1,1
Pct 9749,VBM,9749,1,802,203,25.31,77,123,3,0
Pct 9751,Election Day,9751,1,882,153,17.35,62,86,4,1
Pct 9751,VBM,9751,1,882,295,33.45,115,171,7,0
Pct 9752/9753,Election Day,9752,1,1353,241,17.81,92,142,6,0
Pct 9752/9753,VBM,9752,1,1353,467,34.52,186,285,4,2
Pct 9755/9754,Election Day,9755,1,1201,256,21.32,108,146,2,0
Pct 9755/9754,VBM,9755,1,1201,385,32.06,143,234,9,2
