Local Measure F - CITY/COUNTY OF SAN FRANCI (190),,,,,,,,,,
,,,,,,,,,,
Precinct Totals,,,,,,,,,,
PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 1149/1145,Election Day,1149,1,1658,249,15.02,124,110,9,0
Pct 1149/1145,VBM,1149,1,1658,516,31.12,224,284,9,1
Pct 1153/1152,Election Day,1153,1,1603,208,12.98,98,114,3,0
Pct 1153/1152,VBM,1153,1,1603,488,30.44,191,292,8,0
Pct 7001,Election Day,7001,1,628,98,15.61,43,52,3,0
Pct 7001,VBM,7001,1,628,186,29.62,70,110,6,0
Pct 7002,Election Day,7002,1,860,127,14.77,64,61,3,0
Pct 7002,VBM,7002,1,860,246,28.60,108,138,5,0
Pct 7003/7004,Election Day,7003,1,1586,335,21.12,162,170,3,0
Pct 7003/7004,VBM,7003,1,1586,476,30.01,184,288,12,0
Pct 7005,Election Day,7005,1,765,188,24.58,95,92,1,0
Pct 7005,VBM,7005,1,765,224,29.28,92,132,2,0
Pct 7006,Election Day,7006,1,868,199,22.93,136,64,0,0
Pct 7006,VBM,7006,1,868,238,27.42,107,126,5,0
Pct 7007/7008,Election Day,7007,1,1665,391,23.48,179,207,5,0
Pct 7007/7008,VBM,7007,1,1665,538,32.31,199,336,8,0
Pct 7011/7009,Election Day,7011,1,1815,239,13.17,113,126,2,0
Pct 7011/7009,VBM,7011,1,1815,433,23.86,146,288,7,0
Pct 7012,Election Day,7012,1,887,202,22.77,87,113,3,0
Pct 7012,VBM,7012,1,887,256,28.86,110,144,6,0
Pct 7013/7014,Election Day,7013,1,1584,272,17.17,120,150,2,0
Pct 7013/7014,VBM,7013,1,1584,405,25.57,142,264,12,0
Pct 7015 MB,Election Day,7015,1,78,0,0.00,0,0,0,0
Pct 7015 MB,VBM,7015,1,78,32,41.03,17,14,0,0
Pct 7016/7019,Election Day,7016,1,1715,146,8.51,66,78,3,0
Pct 7016/7019,VBM,7016,1,1715,461,26.88,140,323,3,0
Pct 7018/7026,Election Day,7018,1,1732,132,7.62,60,69,2,0
Pct 7018/7026,VBM,7018,1,1732,548,31.64,157,384,12,1
Pct 7021/7027,Election Day,7021,1,1678,174,10.37,71,98,5,0
Pct 7021/7027,VBM,7021,1,1678,377,22.47,107,270,7,0
Pct 7022,Election Day,7022,1,922,106,11.50,44,63,0,0
Pct 7022,VBM,7022,1,922,203,22.02,79,119,5,1
Pct 7023/7017,Election Day,7023,1,1540,118,7.66,40,79,1,0
Pct 7023/7017,VBM,7023,1,1540,318,20.65,95,220,6,0
Pct 7024,Election Day,7024,1,279,18,6.45,3,15,0,0
Pct 7024,VBM,7024,1,279,21,7.53,5,16,0,0
Pct 7025,Election Day,7025,1,441,37,8.39,14,23,0,0
Pct 7025,VBM,7025,1,441,55,12.47,20,33,2,0
Pct 7028/7033,Election Day,7028,1,1547,157,10.15,61,92,3,0
Pct 7028/7033,VBM,7028,1,1547,278,17.97,107,175,4,0
Pct 7029,Election Day,7029,1,837,49,5.85,17,32,1,0
Pct 7029,VBM,7029,1,837,124,14.81,40,83,2,0
Pct 7030/7031,Election Day,7030,1,1075,71,6.60,29,42,2,0
Pct 7030/7031,VBM,7030,1,1075,356,33.12,103,243,11,0
Pct 7032,Election Day,7032,1,854,77,9.02,29,43,3,0
Pct 7032,VBM,7032,1,854,197,23.07,68,125,5,0
Pct 7034,Election Day,7034,1,841,60,7.13,19,39,2,0
Pct 7034,VBM,7034,1,841,106,12.60,31,72,6,0
Pct 7035,Election Day,7035,1,327,36,11.01,13,22,1,0
Pct 7035,VBM,7035,1,327,74,22.63,20,51,3,0
Pct 7037,Election Day,7037,1,749,46,6.14,10,29,8,0
Pct 7037,VBM,7037,1,749,56,7.48,16,38,2,0
Pct 7038,Election Day,7038,1,846,59,6.97,22,35,2,0
Pct 7038,VBM,7038,1,846,209,24.70,53,149,7,0
Pct 7039,Election Day,7039,1,730,110,15.07,49,57,3,0
Pct 7039,VBM,7039,1,730,167,22.88,66,101,2,0
Pct 7041 MB,Election Day,7041,1,53,0,0.00,0,0,0,0
Pct 7041 MB,VBM,7041,1,53,19,35.85,7,12,0,0
Pct 7043,Election Day,7043,1,847,59,6.97,26,34,0,0
Pct 7043,VBM,7043,1,847,202,23.85,73,129,2,0
Pct 7045,Election Day,7045,1,708,65,9.18,28,30,7,0
